序号,单词,翻译,美式音标,英式音标
14648,legitimately,"adv.正当地,合理地",[lɪˈdʒɪtɪmətli],[lɪˈdʒɪtɪmətlɪ]
14649,legitimation,"n.合法化,认为嫡出",[lɪˌdʒɪtəˈmeʃən],[lɪˌdʒɪtəˈmeɪʃən]
14650,legitimise,vt.<主英> =legitimize,[lɪˈdʒɪtɪmaɪz],[lɪˈdʒɪtɪmaɪz]
14651,legitimize,"v.宣布合法化,立为嫡嗣",[ləˈdʒɪtəˌmaɪz],[lɪˈdʒɪtɪˌmaɪz]
14652,legroom,"n.放脚空间,踏脚处",[ˈlɛɡˌrum],[ˈlegru:m]
14653,legs,n.木头支架,[ˈleɡz],[ˈleɡz]
14654,legume,"n.豆类,豆荚",[ˈlɛɡˌjum],[ˈleɡju:m]
14655,leif," Ericsson即 Ericsson,Leif",[lif],[li:f]
14656,leisure,"n.空闲,闲暇,悠闲,安逸",[ˈliʒɚ],[ˈleʒə]
14657,leisureliness,"n.悠然,从容",[ˈleʒɚlɪnɪs],[leʒəˈlaɪnəs]
14658,leisurely,adv.从容不迫,[ˈliʒɚli],[ˈleʒəlɪ]
14659,lemma,"n.[数]引理,辅助定理,论点,主旨,(文章论点的)标题,(词典的)词条",[ˈlɛmə],[ˈlemə]
14660,lemming,n.[动] 旅鼠,[ˈlɛmɪŋ],[ˈlemɪŋ]
14661,lemon,n.柠檬adj.柠檬色的,[ˈlɛmən],[ˈlemən]
14662,lemonade,n.柠檬水,[ˌlɛməˈned],[ˌleməˈneɪd]
14663,lend,"v.借给,贷(款)",[lɛnd],[lend]
14664,lender,"n.出借人,贷方",[ˈlendɚ],[ˈlendə]
14665,lending,"n.出借,出租,贷款,出借物,出租物",[ˈlɛndɪŋ],[ˈlendɪŋ]
14666,length,"n.长度,长,时间的长短,[语]音长",[lɛŋθ],[leŋθ]
14667,lengthen,"v.延长,(使)变长",[ˈlɛŋθən],[ˈleŋkθən]
14668,lengthiness,n.冗长,[ˈleŋθɪnɪs],[ˈleŋθɪnɪs]
14669,lengthways,"adv.纵长地,纵向地adj.纵长的,纵向的",[ˈlɛŋkθˌwez],[ˈleŋkθweɪz]
14670,lengthwise,adj.<美>=lengthways,[ˈlɛŋkθˌwaɪz],[ˈleŋθwaɪz]
14671,lengthy,"adj.(演说、文章等)冗长的,过分的",[ˈlɛŋθi],[ˈleŋθɪ]
14672,lenience,"n.宽厚,仁慈",[ˈlinɪrns],[ˈli:njəns]
14673,leniency,"n.宽大,仁慈,温和,慈悲宽厚行为",[ˈliniənsi],[ˈli:nɪənsɪ]
14674,lenient,"adj.宽大的,仁慈的,慈悲为怀的",[ˈliniənt],[ˈli:nɪənt]
14675,leningrad,n.列宁格勒(前苏联西北部港市),[ˈlenɪnɡræd],[ˈlenɪnɡræd]
14676,lenitive,"adj.润泽的,缓和的,缓解疼痛的,减轻痛苦的,轻泻的n.润泽药,缓和剂,轻泻剂",[ˈlɛnətɪv],[ˈlenɪtɪv]
14677,lens,"n.透镜,镜头",[lɛnz],[lenz]
14678,lent,vbl.lend的过去式和过去分词n. <宗>四旬斋,[lɛnt],[lent]
14679,lentil,n.[植]小扁豆,[ˈlɛntəl],[ˈlentɪl]
14680,lento,"adj.[乐] 徐缓的,柔和的",[ˈlɛnto],[ˈlentəʊ]
14681,leo,"n.狮子(用于儿童故事寓言等),[天文]狮子座",[ˈlioʊ],[ˈli:əʊ]
14682,leopard,"n.豹,美洲豹.美洲虎",[ˈlepɚd],[ˈlepəd]
14683,leotard,n.(杂技、舞蹈等演员穿的) 紧身连衣裤,[ˈliətɑrd],[ˈli:ətɑ:d]
14684,leper,"n.麻疯病患者,受蔑视的人",[ˈlɛpɚ],[ˈlepə(r)]
14685,lepidopter,n.[动] 鳞翅类昆虫,[ˌlepəˈdɒptə],[ˌlepɪˈdɒptə]
14686,lepidoptera,n.[动] 鳞翅类,[ˌlepɪˈdɒptərə],[ˌlepɪˈdɒptərə]
14687,leprosy,"n.[医] 麻疯病,腐败",[ˈlɛprəsi],[ˈleprəsɪ]
14688,lepton,"n.[物] 轻子,希腊的货币单位,古希腊的最小硬币",[ˈleptɒn],[ˈleptɒn]
14689,lesbian,adj.(女性)同性恋的n.同性恋的女性,[ˈlezbiən],[ˈlezbɪən]
14690,lesion,"n.损害,身体上的伤害",[ˈliʒən],[ˈli:ʒən]
14691,less,"n.较少,较小adj.少的,小的adv.较少地,更小地,不及 prep.减去",[lɛs],[les]
14692,lessee,"n.承租人,租户",[lɛˈsi],[leˈsi:]
14693,lessen,"v.减少,减轻",[ˈlɛsən],[ˈlesn]
14694,lesser,"adj.较小的,更少的,次要的",[ˈlɛsɚ],[ˈlesə]
14695,lesson,"n.功课,(一节)课,[pl.] 课程,教训",[ˈlɛsən],[ˈlesn]
14696,lessor,n.出租人,[leˈsɔ:(r)],[leˈsɔ:]
14697,lest," conj.唯恐,以免,免得,(用于fear,be afraid之后,等于that)",[lɛst],[lest]
14698,let,"vt.假设,出租,允许,排放,让...进入(或通过),妨碍vi.出租,(工程等)被承包n.出租屋,障碍",[lɛt],[let]
14699,lethal,adj.致命的n.致死因子,[ˈliθəl],[ˈli:θəl]
14700,lethargic,"adj.昏睡的,瞌睡的",[ləˈθɑrdʒɪk],[leˈθɑ:dʒɪk]
14701,lethargy,n.无生气,[ˈleθɚdʒi],[ˈleθədʒɪ]
14702,letter,"n.文字,字母,信函,字面意义,铅字,(pl.)证书,(pl.)文学,学问vt.用字母标明,在...上刻(或题)字vi.写印刷体字母",[ˈlɛtɚ],[ˈletə]
14703,letterhead,"n.信笺上方的印刷文字,印有抬头的信笺",[ˈletɚhed],[ˈletəhed]
14704,lettering,"n.书写的文字,字体,刻出的字母",[ˈlɛtərɪŋ],[ˈletərɪŋ]
14705,lettuce,"n.[植]莴苣,生菜,苦菜类,<俚>纸币",[ˈlɛtəs],[ˈletɪs]
14706,letup,"n.停止,中止,松懈,停顿",[ˈletˌʌp],[ˈletˌʌp]
14707,leucine,"n.[生化]亮氨酸,白氨酸",[ˈluˌsin],[ˈlu:si:n]
14708,leucocyte,"n.[解]白细胞,白血球",[ˈlukəsaɪt],[ˈlu:kəsaɪt]
14709,leukaemia,n.[医] 白血病,[lu:ˈki:miə],[lju:ˈki:mɪə]
14710,leukemia,n.白血病,[luˈkimɪɚ],[lu:ˈki:mɪə]
14711,leukocyte,"n.[解]白细胞,白血球",[ˈlukəˌsaɪt],[ˈlu:kəˌsaɪt]
14712,leukocytosis,"n.[医]白细胞增多,白血球增多",[ˌlukosaɪˈtosɪs],[ˌlu:kəʊsaɪˈtəʊsɪs]
14713,levee,"n.防洪堤,码头,大堤v.筑防洪堤于",[ˈlɛvi],[ˈlevɪ]
14714,level,"n.水平,水平面,水准,标准,级别adj.同高的,平坦的,齐平的,水平的vt.使...水平,夷平,使同等,瞄准,对准vi.变平,拉平",[ˈlɛvəl],[ˈlevl]
14715,levelheaded,"adj.头脑冷静的,清醒的 稳健的",[ˈlɛvəlˌhɛdɪd],[ˈlevəlˈhedɪd]
14716,levelly,"adv.水准地,不动心地",[ˈlevəli],[ˈlevəlɪ]
14717,lever,"n.杆,杠杆,控制杆v.抬起",[ˈlɛvɚ],[ˈli:və]
14718,leverage,n.杠杆作用,[ˈlɛvərɪdʒ],[ˈli:vərɪdʒ]
14719,leviathan,"n.(<<圣经>>中象征邪恶的)海中怪兽,巨物",[ləˈvaɪəθən],[lɪˈvaɪəθən]
14720,levitate,"v.(使)轻轻浮起,(使)飘浮空中",[ˈlɛvɪˌtet],[ˈlevɪteɪt]
14721,levity,"n.轻率,轻浮,不稳定,多变",[ˈlɛvɪti],[ˈlevɪtɪ]
14722,levy,"n.征收,征税,征兵v.征收,征集,征用",[ˈlɛvi],[ˈlevɪ]
14723,lewd,"adj.淫荡的,猥亵的,下流的",[lud],[lu:d]
14724,lewdness,"n.淫荡,邪恶",[ˈludnis],[ˈlu:dni:s]
14725,lexical,adj.词汇的,[ˈlɛksɪkəl],[ˈleksɪkl]
14726,lexicographer,n.词典编纂者,[ˌleksɪˈkɑgrəfɚ],[ˌleksɪˈkɒgrəfə]
14727,lexicography,n.词典编纂,[ˌleksɪˈkɑgrəfi],[ˌleksɪˈkɒɡrəfɪ]
14728,lexicon,n.词典,[ˈlɛksɪˌkɑn],[ˈleksɪkən]
14729,liabilities,"债务,负债",[ˌlaɪəˈbɪlətɪs],[ˌlaɪəˈbɪlɪtɪs]
14730,liability,"n.责任,义务,倾向,债务,负债,与assets相对",[ˌlaɪəˈbɪlɪti],[ˌlaɪəˈbɪlɪtɪ]
14731,liable,"adj.有责任的,有义务的,易...的,有...倾向的,负有责任的,很有可能的",[ˈlaɪəbəl],[ˈlaɪəbl]
14732,liaise,"vi.保持联络,担任联络官",[liˈez],[li:ˈeɪz]
14733,liaison,"n.联络,(语音)连音",[liˈeɪzɑn],[li:ˈeɪˌzɒn]
14734,liar,n.(惯于)说谎者,[ˈlaɪɚ],[ˈlaɪə]
14735,libel,"n.以文字损害名誉,诽谤罪,侮辱v.诽谤,中伤,诬蔑,损害名誉",[ˈlaɪbəl],[ˈlaɪbəl]
14736,libelous,"adj.(=libellous) 损害名誉的,用言语中伤他人的",[ˈlaɪbələs],[ˈlaɪbələs]
14737,liber,"n.书籍,登记册",[ˈlaɪbə],[ˈlaɪbə]
14738,liberal,"n.自由主义者,(尤指英国、加拿大等国的)adj.慷慨的,不拘泥的,宽大的,自由主义的",[ˈlɪbərəl],[ˈlɪbərəl]
14739,liberalism,n.自由主义,[ˈlɪbərəˌlɪzəm],[ˈlɪbərəlɪzm]
14740,liberalist,n.自由主义者,[ˈlɪbərəlɪst],[ˈlɪbərəlɪst]
14741,liberality,"n.宽大,磊落",[ˌlɪbəˈrælɪti],[ˌlɪbəˈrælɪtɪ]
14742,liberalization,"n.自由主义化,使宽大",[ˌlɪbrəlaɪˈzeʃn],[ˌlɪbərəlaɪˈzeɪʃən]
14743,liberalize,v.自由化,[ˈlɪbərəˌlaɪz],[ˈlɪbrəlaɪz]
14744,liberally,"adv.不受限制地,公平地,大方地",[ˈlɪbərəli],[ˈlɪbərəlɪ]
14745,liberate,"v.解放,释放",[ˈlɪbəˌret],[ˈlɪbəreɪt]
14746,liberation,"n.释放,解放",[ˌlɪbəˈreʃən],[ˌlɪbəˈreɪʃən]
14747,liberator,"n.解放者,释放者",[ˈlɪbəˌretɚ],[ˈlɪbəˌreɪtə]
14748,libertarian,"n.自由意志主义者,行动自由论者adj.自由的,持自由论的,自由论者的",[ˌlɪbɚˈteriən],[ˌlɪbəˈteəriən]
14749,libertine,"n.放荡不羁者,玩乐者,浪子,自由思想家adj.放荡的",[ˈlɪbɚtin],[ˈlɪbəti:n]
14750,liberty,"n.自由,特权,随意,冒失,冒昧,失礼",[ˈlɪbɚti],[ˈlɪbətɪ]
14751,libido,"n.性欲,性的冲动,生命力",[lɪˈbido],[lɪˈbi:dəʊ]
14752,libra,"n.镑(英国货币单位),磅(古罗马重量单位)",[ˈlaɪbrə],[ˈlaɪbrə]
14753,librarian,"n.图书馆员,图书管理员",[laɪˈbrerɪrn],[laɪˈbreərɪən]
14754,library,"n.图书馆,藏书室,库",[ˈlaɪbrəri],[ˈlaɪbrərɪ]
14755,libretto,n.(歌剧、音乐剧等的)歌词(或剧本),[lɪˈbretoʊ],[lɪˈbretəʊ]
14756,libya,n.利比亚(北非国家),[ˈlɪbɪɚ],[ˈlɪbɪə(r)]
14757,libyan,"adj.利比亚的,利比亚人的,代利比亚语的n.利比亚人,代利比亚语",[ˈlɪbɪən],[ˈlɪbɪən]
14758,lice,"n.虱子,白虱",[laɪs],[laɪs]
14759,licence,"n.执照,许可证,特许vt.许可,特许,认可,发给执照",[ˈlaɪsəns],[ˈlaɪsəns]
14760,license,"n.许可(证),执照vt.许可,特许v.许可",[ˈlaɪsəns],[ˈlaɪsəns]
14761,licensed,adj.得到许可的,[ˈlaɪsnst],[ˈlaɪsənst]
14762,licensee,"n.获许可的人,领到执照的人,",[ˌlaɪsənˈsi],[ˌlaɪsənˈsi:]
14763,licensor,n.认可证颁发者(尤指批准书籍出版或戏剧演出的官员),[ˈlaɪsənsə],[ˈlaɪsənsə]
14764,licensure,n.发给许可证,[ˈlaɪsənʃʊr],[ˈlaɪsənʃʊə]
14765,licentious,adj.放肆的,[laɪˈsɛnʃəs],[laɪˈsenʃəs]
14766,lichee,"n.[植] <汉> (=litchi)荔枝,荔枝果",[ˌlaɪˈtʃi],[ˌlaɪˈtʃi:]
14767,lichen,"n.[植]青苔,地衣,苔藓",[ˈlaɪkən],[ˈlaɪkən]
14768,licit,"adj.合法的,正当的",[ˈlɪsɪt],[ˈlɪsɪt]
14769,licity,adv.合法地,[ˈlɪsɪti],[ˈlɪsɪtɪ]
14770,lick,"n.舔,少许,打vt.舔,卷过,鞭打,克服,征服vi.轻轻拍打",[lɪk],[lɪk]
14771,licorice,"n.[植]欧亚甘草,由欧亚甘草根熬成的精",[ˈlɪkərɪs],[ˈlɪkərɪs]
14772,lid,"n.盖子,<美口>限制,眼睑vt.给...盖盖子",[lɪd],[lɪd]
14773,lidded,adj.有盖子的 盖着盖子的 覆盖着的,[ˈlɪdɪd],[ˈlɪdɪd]
14774,lidless,"adj.无盖的,无眼脸的,注视着",[ˈlɪdlɪs],[ˈlɪdlɪs]
14775,lie,"vi.躺,平放,展现,展开,位于v.说谎,躺n.谎话,谎言",[lai],[laɪ]
14776,lied,n.德国民谣歌曲,[laɪd],[laɪd]
14777,liege,"n.君主,臣民,列日adj.君主的,臣民的,君臣关系的",[lidʒ],[li:dʒ]
14778,lien,"n.留置权,抵押品所产生的利息",[lin],[ˈli:ən]
14779,lieu,n.场所,[lu],[lju:]
14780,lieutenant,"n.陆军中尉,海军上尉,副职官员",[luˈtɛnənt],[lefˈtenənt]
14781,life,"n.生命,生活,一生,寿命,生命力,传记",[laɪf],[laɪf]
14782,lifeblood,"n.生命必须的血液,活力的源泉",[ˈlaɪfblʌd],[ˈlaɪfblʌd]
14783,lifeboat,n.救生艇,[ˈlaɪfboʊt],[ˈlaɪfbəʊt]
14784,lifeguard,n.救生员,[ˈlaɪfgɑrd],[ˈlaɪfgɑ:d]
14785,lifeless,"adj.无生命的,无生气的",[ˈlaɪflɪs],[ˈlaɪflɪs]
14786,lifelike,adj.逼真的,[ˈlaɪfˌlaɪk],[ˈlaɪflaɪk]
14787,lifelikeness,"n.生动,逼真",[ˈlaɪflaɪknəs],[ˈlaɪflaɪknəs]
14788,lifeline,"n.救生索,生命线,重要的交通线(或通信联络线)",[ˈlaɪfˌlaɪn],[ˈlaɪflaɪn]
14789,lifelong,"adj.终身的,毕生的",[ˈlaɪflɔŋ],[ˈlaɪflɒŋ]
14790,lifesaver,"n.救生者,水难救生员,济急的人",[ˈlaɪfˌsevɚ],[ˈlaɪfseɪvər]
14791,lifespan,"n.(动植物的)寿命,预期生命期限,(物的) 预期使用期限",[ˈlaɪfspæn],[ˈlaɪfspæn]
14792,lifetime,"n.一生,终生,寿命",[ˈlaɪfˌtaɪm],[ˈlaɪftaɪm]
14793,lifework,"n.一生的工作,毕生的事业",[ˌlaɪfˈwɝk],[ˌlaɪfˈwɜ:k]
14794,lift,"n.举起,电梯,起重机,搭车vt.升高,提高,举起,空运vi.升起,(指雾等)消散,耸立",[lɪft],[lɪft]
14795,ligament,"n.系带,韧带",[ˈlɪɡəmənt],[ˈlɪɡəmənt]
14796,ligature,n.绷带,[ˈlɪɡəˌtʃɚ],[ˈlɪgətʃə]
14797,light,"n.光,日光,发光体,灯adj.轻的,发光的,明亮的,浅的vt.点燃,照亮adv.轻地vi.点着,变亮",[laɪt],[laɪt]
14798,lighten,"v.减轻,(使)轻松,(使)发亮,照",[ˈlaɪtn],[ˈlaɪtn]
14799,lighter,"n.点火者,打火机,驳船v.驳运",[ˈlaɪtɚ],[ˈlaɪtə]
14800,lightheaded,adj.头昏眼花的,[ˈlaɪtˌhɛdɪd],[ˈlaɪtˌhedɪd]
14801,lighthearted,"adj.快乐的,心情愉快的",[ˈlaɪtˈhɑtɪd],[ˈlaɪtˈhɑ:tɪd]
14802,lightheartedness,"n.自由自在,无忧无虑",[ˈlaɪtˈhɑtɪdnɪs],[ˈlaɪtˈhɑ:tɪdnɪs]
14803,lighthouse,n.灯塔,[ˈlaɪtˌhaʊs],[ˈlaɪthaʊs]
14804,lighting,"n.照明,照明设备,舞台灯光,点火",[ˈlaɪtɪŋ],[ˈlaɪtɪŋ]
14805,lightish,"adj.略呈淡色的,略轻的",[ˈlaɪtɪʃ],[ˈlaɪtɪʃ]
14806,lightly,"adv.轻轻地,轻松地",[ˈlaɪtli],[ˈlaɪtlɪ]
14807,lightness,"n.轻盈,灵活",[ˈlaɪtnɪs],[ˈlaɪtnɪs]
14808,lightning,"n.闪电 (""闪电"") 英国第一种超音速喷气式战斗机,英60年代的主力机种。",[ˈlaɪtnɪŋ],[ˈlaɪtnɪŋ]
14809,lightproof,adj.防光的,[ˈlaɪtˈpruf],[ˈlaɪtpru:f]
14810,lights,n.(供食用的)家畜的肺脏,[laɪts],[laɪts]
14811,lightweight,"n.轻量级选手,不能胜任者",[ˈlaɪtˌwet],[ˈlaɪtweɪt]
14812,ligneous,adj.木质的,[ˈlɪɡniəs],[ˈlɪɡnɪəs]
14813,likable,adj.可爱的,[ˈlaɪkəbəl],[ˈlaɪkəbəl]
14814,like,"n.爱好,同样的人(或物)adj.相似的,同样的vt.喜欢,希望,愿意vi.喜欢,希望 prep.象,如同adv.可能",[laɪk],[laɪk]
14815,likeable,"adj.(=likable)可爱的,令人喜爱的",[ˈlaɪkəbəl],[ˈlaɪkəbl]
14816,likelihood,"n.可能,可能性",[ˈlaɪkliˌhʊd],[ˈlaɪklɪhʊd]
14817,likely,"adj.很可能的,合适的,可靠的,有希望的adv.或许,很可能",[ˈlaɪkli],[ˈlaɪklɪ]
14818,liken,vt.把...比作,[ˈlaɪkən],[ˈlaɪkən]
14819,likeness,"n.相象,相似物",[ˈlaɪknɪs],[ˈlaɪknɪs]
14820,likewise,"adv.同样地,照样地,又,也n.同样地",[ˈlaɪkˌwaɪz],[ˈlaɪkˌwaɪz]
14821,liking,"n.爱好,嗜好",[ˈlaɪkɪŋ],[ˈlaɪkɪŋ]
14822,lilac,"n.[植]丁香(尤指西洋丁花)紫丁香,丁香花,淡紫色adj.淡紫色的",[ˈlaɪlək],[ˈlaɪlək]
14823,lillian,n.莉莲(亦作Lilian)(f.),[ˈlɪlɪən],[ˈlɪlɪən]
14824,lilliputian,"adj.小人国居民的n.小人国居民,侏儒",[ˌlɪləˈpjuʃən],[ˌlɪləˈpju:ʃən]
14825,lilt,"v.唱轻快的调子,轻快地动n.轻快活泼的调子,轻快的动作",[lɪlt],[lɪlt]
14826,lily,"n.百合,百合花,洁白的东西,纯洁的人adj.洁白的,纯洁的 Lily 莉莉(女子名)",[ˈlɪli],[ˈlɪlɪ]
14827,lima,n.狐贝属 利马(秘鲁首都) 莱马(美国城市),[ˈlimə],[ˈli:mə]
14828,limb,"n.肢,翼,分支",[lɪm],[lɪm]
14829,limber,adj.可塑的,[ˈlɪmbɚ],[ˈlɪmbə]
14830,limbic,"adj.边的,缘的",[ˈlɪmbɪk],[ˈlɪmbɪk]
14831,limbless,adj.无肢的 无翼的 无大枝的,[lɪmlɪs],[lɪmlɪs]
14832,limbo,"n.地狱的边境,监狱",[ˈlɪmboʊ],[ˈlɪmbəʊ]
14833,lime,"n.酸橙,石灰,黏鸟胶",[laɪm],[laɪm]
14834,limelight,n.引人注目的中心,[ˈlaɪmˌlaɪt],[ˈlaɪmlaɪt]
14835,limerick,"n.五行打油诗(一种通俗幽默短诗,有五行组成,韵式为aabba)",[ˈlɪmərɪk],[ˈlɪmərɪk]
14836,limestone,n.石灰石,[ˈlaɪmstoʊn],[ˈlaɪmstəʊn]
14837,limewater,n.石灰水,[ˈlaɪmˌwɔtə],[ˈlaɪmˌwɔ:tə(r)]
14838,limit,"n.界限,限度,限制vt.限制,限定",[ˈlɪmɪt],[ˈlɪmɪt]
14839,limitation,"n.限制,局限性",[ˌlɪmɪˈteʃən],[ˌlɪmɪˈteɪʃən]
14840,limitative,"adj.限制的,限定的",[ˈlɪmɪtetɪv],[ˈlɪmɪteɪtɪv]
14841,limited,"adj.有限的,狭窄的,缺乏创见的n.高级快车",[ˈlɪmɪtɪd],[ˈlɪmɪtɪd]
14842,limiting,adj.限制的,[ˈlɪmɪtɪŋ],[ˈlɪmɪtɪŋ]
14843,limitless,"adj.无限的,无界限的",[ˈlɪmɪtlɪs],[ˈlɪmɪtlɪs]
14844,limn,"vt.描写,描绘",[lɪm],[lɪm]
14845,limner,"n.画匠,画家",[ˈlɪmnɚ],[ˈlɪmnə(r)]
14846,limnetic,adj.淡水的,[lɪmˈnetɪk],[lɪmˈnetɪk]
14847,limousine,n.豪华轿车,[ˌlɪməˈzin],[lɪməˈzi:n]
14848,limp,"adj.柔软的,易曲的vi.跛行",[lɪmp],[lɪmp]
14849,limpid,adj.清澈的,[ˈlɪmpɪd],[ˈlɪmpɪd]
14850,limply,"adv.柔软地,四肢无力地,无生气的",[ˈlɪmpli],[ˈlɪmplɪ]
14851,limpness,"n.柔弱,疲倦",[ˈlɪmpnɪs],[ˈlɪmpnəs]
14852,linchpin,n.关键,[ˈlɪntʃˌpɪn],[ˈlɪntʃpɪn]
14853,line,"n.绳,索,线路,航线,诗句vt.排成一行,顺...排列,划线于,使有线条,使起皱纹vi.排队",[laɪn],[laɪn]
14854,lineage,"n.血统,世系",[ˈlɪnɪɪdʒ],[ˈlɪnɪɪdʒ]
14855,lineal,"adj.直系的,正统的",[ˈlɪniəl],[ˈlɪnɪəl]
14856,lineament,n.面部轮廓,[ˈlɪnɪəmənt],[ˈlɪnɪəmənt]
14857,linear,"adj.线的,直线的,线性的",[ˈlɪnɪɚ],[ˈlɪnɪə]
14858,linebacker,n.后卫球员,[ˈlaɪnˌbækɚ],[ˈlaɪnbækə(r)]
14859,lineman," 养保工人,巡道员",[ˈlaɪnmən],[ˈlaɪnmən]
14860,linen,"n.亚麻布,亚麻制品,亚麻纤维制成的优质纸adj.亚麻布制的,亚麻的",[ˈlɪnən],[ˈlɪnɪn]
14861,liner,"n.<美>班机,划线者,衬垫",[ˈlaɪnɚ],[ˈlaɪnə]
14862,lineskipper,"n.不按排队顺序抢先的人,插队的人",[ˈlɪnɪskɪpɚ],[ˈlaɪnˌskɪpə]
14863,linesman,"n.巡边员,巡道工,前锋",[ˈlaɪnzmən],[ˈlaɪnzmən]
14864,lineup,"n.阵容,阵形,一组人",[ˈlaɪnˌʌp],[ˈlaɪnʌp]
14865,lingam,n.[印度教] 男性生殖器像,[ˈlɪŋgəm],[ˈlɪŋgəm]
14866,linger,"v.逗留,闲荡,拖延,游移",[ˈlɪŋɡɚ],[ˈlɪŋɡə]
14867,lingerie,妇女贴身内衣,[ˌlɑndʒəˈre],[ˈlænʒərɪ]
14868,lingering,"adj.延迟的,逗留不去的",[ˈlɪŋɡərɪŋ],[ˈlɪŋɡərɪŋ]
14869,lingeringly,"adv.延迟地,逗留不去地",[ˈlɪŋɡərɪŋli],[ˈlɪŋɡərɪŋlɪ]
14870,lingo,"n.(尤指)方言,行话,隐语",[ˈlɪŋgoʊ],[ˈlɪŋgəʊ]
14871,lingual,adj.语言的,[ˈlɪŋɡwəl],[ˈlɪŋɡwəl]
14872,linguist,n.语言学家,[ˈlɪŋɡwɪst],[ˈlɪŋɡwɪst]
14873,linguistic,"adj.语言上的,语言学上的",[lɪŋˈɡwɪstɪk],[lɪŋˈɡwɪstɪk]
14874,linguistics,n.语言学,[lɪŋˈɡwɪstɪks],[lɪŋˈɡwɪstɪks]
14875,liniment,"n.擦剂,涂抹油",[ˈlɪnəmənt],[ˈlɪnəmənt]
14876,lining,"n.加衬里,内层,衬套",[ˈlaɪnɪŋ],[ˈlaɪnɪŋ]
14877,link,"n.链环,连结物,火把,链接vt.连结,联合,挽vi.连接起来",[lɪŋk],[lɪŋk]
14878,linkage,n.联接,[ˈlɪŋkɪdʒ],[ˈlɪŋkɪdʒ]
14879,linked,"adj.连接的,显示连环遗传的",[ˈlɪŋkt],[ˈlɪŋkt]
14880,links,"n.高尔夫球场,沙丘;n.pl.link的复数,链接",[lɪŋks],[lɪŋks]
14881,linnet,n.[动]红雀,[ˈlɪnɪt],[ˈlɪnɪt]
14882,linoleum,"n.油布,油毯",[lɪˈnoʊliəm],[lɪˈnəʊliəm]
14883,lint,n.(旧时作)绷带用软麻布,[lɪnt],[lɪnt]
14884,linty,"adj.有棉毛的,有棉絮的",[ˈlɪnti],[ˈlɪntɪ]
14885,lion,"n.狮子,(剽悍的人)社交场合的名流",[ˈlaɪən],[ˈlaɪən]
14886,lioness,n.雌狮,[ˈlaɪənɪs],[ˈlaɪənɪs]
14887,lionize,"vt.把...奉为名人,游览...名胜vi.游览名胜",[ˈlaɪəˌnaɪz],[ˈlaɪənaɪz]
14888,lip,"n.嘴唇,唇缘",[lɪp],[lɪp]
14889,lipase,n.[化]脂肪酶,[ˈlaɪˌpes],[ˈlaɪpeɪz]
14890,lipid,"n.脂质,油脂[脂肪,乳酪]",[ˈlɪpɪd],[ˈlɪpɪd]
14891,lipoid,n.[化]类脂adj.类脂的,[ˈlaɪˌpɔɪd],[ˈlɪpɔɪd]
14892,lipoprotein,n.脂蛋白,[ˈlɪpəproʊtin],[ˈlɪpəprəʊti:n]
14893,lipstick,"n.<美> 口红,唇膏",[ˈlɪpˌstɪk],[ˈlɪpstɪk]
14894,liquefaction,n.液化,[ˌlɪkwɪˈfækʃən],[ˌlɪkwɪˈfækʃən]
14895,liquefy,"v.(使)溶解,(使)液化",[ˈlɪkwəˌfai],[ˈlɪkwɪfaɪ]
14896,liqueur,n.利口酒,[lɪˈkɚ],[lɪˈkjʊə(r)]
14897,liquid,"n.液体,流体,流音adj.液体的,清澈的,透明的,明亮的,流动的,易变的,(财务)易变卖的",[ˈlɪkwɪd],[ˈlɪkwɪd]
14898,liquidate,v.清算,[ˈlɪkwɪˌdet],[ˈlɪkwɪdeɪt]
14899,liquidation,n.清算,[ˌlɪkwɪˈdeʃn],[ˌlɪkwɪˈdeɪʃən]
14900,liquidator,n.清算人,[ˈlɪkwɪdetɚ],[ˈlɪkwɪdeɪtə(r)]
14901,liquidity,"n.流动性,流畅",[lɪˈkwɪdɪti],[lɪˈkwɪdətɪ]
14902,liquor,"n.液体,汁,酒精饮料,[药]溶液vt.浸水vi.喝酒",[ˈlɪkɚ],[ˈlɪkə]
14903,lira,n.里拉(意大利货币单位),[ˈlɪrə],[ˈlɪərə]
14904,lisp,v.咬着舌儿说n.口齿不清,[lɪsp],[lɪsp]
14905,lissome,"adj.柔软的,敏捷的",[ˈlɪsəm],[ˈlɪsəm]
14906,list,"n.目录,名单,列表,序列,数据清单,明细表,条纹,[总称]各种上市证券vt.列出,列于表上,记入名单内,装布条vi.列于表上",[lɪst],[lɪst]
14907,listed,adj.列出的,[ˈlɪstɪd],[ˈlɪstɪd]
14908,listen,"vi.听,听从v.听,收听",[ˈlɪsən],[ˈlɪsn]
14909,listener,"n.收听者,听众",[ˈlɪsənɚ],[ˈlɪsnə]
14910,listening,"n.倾听adj.收听的,注意的",[ˈlɪsənɪŋ],[ˈlɪsənɪŋ]
14911,listing,"n.[计] 清单,列表 vbl.list的进行时",[ˈlɪstɪŋ],[ˈlɪstɪŋ]
14912,listless,"adj.倦怠的,冷漠的,情绪低落的",[ˈlɪstlɪs],[ˈlɪstlɪs]
14913,listlessly,"adv.无精打采地,冷淡地",[ˈlɪstləsli],[ˈlɪstləslɪ]
14914,lists,n.竞技场,[ˈlɪsts],[ˈlɪsts]
